County FIPS,County Name,State FIPS,State Name,Primary and Commercial Airports,Non-Commercial -Civil Public Use Airports and Seaplane base,Non-Commercial -Other Aerodromes,Number of Bridges,% of Poor Condition Bridges,Number of business establishments,Percent of resident workers who commute by transit,Number of resident workers who work at home,Number of workers from other counties who commute to work in the county,Number of resident workers who commute to work in other counties,Number of resident workers who commute within county,Number of resident workers,Number of residents,Total Docks,Total Marinas,Route miles of freight railroad,% of Medium to Fair Condition Bridges,Route miles of passenger railroad and rail transit
01001,Autauga County,1,Alabama,0,1,0,114,0.035087719,869,0.000781893,510,"15,576","15,417","8,710","24,300","55,050",,,50.7,0.964912281,0
01003,Baldwin County,1,Alabama,0,4,28,360,0.019444444,"5,384",0.002143436,"4,380","24,011","17,748","62,235","86,310","199,510",1,0,30.4,0.980555556,0
01005,Barbour County,1,Alabama,0,2,2,193,0.031088083,455,0.003984064,110,"2,368","1,871","6,395","8,785","26,615",0,0,14.7,0.968911917,0
01007,Bibb County,1,Alabama,0,1,0,126,0,284,0.004710145,100,"4,868","4,816","3,410","8,280","22,570",,,25.1,1,5.5
01009,Blount County,1,Alabama,0,1,1,183,0.087431694,698,0.001639344,480,"14,171","13,981","7,205","21,350","57,705",,,13.1,0.912568306,0
01011,Bullock County,1,Alabama,0,1,1,138,0.014492754,107,0.003601441,110,"1,699","1,664","2,465","4,165","10,550",,,,0.985507246,
01013,Butler County,1,Alabama,0,1,3,188,0.053191489,422,0,165,"1,925","1,744","5,755","7,690","20,280",,,45.3,0.946808511,0
01015,Calhoun County,1,Alabama,0,1,5,374,0.037433155,"2,319",0.002292827,"1,200","10,171","8,879","35,630","45,795","115,885",,,65.9,0.962566845,29.3
01017,Chambers County,1,Alabama,0,1,1,184,0.070652174,554,0.002527988,300,"8,153","3,955","5,705","13,845","34,020",,,28.9,0.929347826,0
01019,Cherokee County,1,Alabama,0,1,3,169,0.017751479,361,0.005527638,190,"5,034","2,385","4,880","9,950","25,895",,,,0.982248521,
01021,Chilton County,1,Alabama,0,1,4,189,0.015873016,756,0.000866802,315,"8,965","8,588","8,335","17,305","43,815",,,59.4,0.984126984,0
01023,Choctaw County,1,Alabama,0,1,1,153,0.065359477,257,0,55,"1,774",632,"2,375","4,145","13,285",,,26.7,0.934640523,0
01025,Clarke County,1,Alabama,0,2,1,155,0.006451613,600,0.001747815,80,"2,219","1,898","5,800","8,010","24,845",,,42.9,0.993548387,0
01027,Clay County,1,Alabama,0,1,1,130,0.084615385,185,0.000743494,80,"1,989","1,835","3,390","5,380","13,485",,,28.8,0.915384615,0
01029,Cleburne County,1,Alabama,,,,165,0.109090909,170,0.000717489,130,"3,866","1,530","1,705","5,575","14,990",,,19.7,0.890909091,19.7
01031,Coffee County,1,Alabama,0,2,9,214,0.014018692,985,0.000181901,615,"8,745","8,341","13,195","21,990","50,990",,,4.6,0.985981308,0
01033,Colbert County,1,Alabama,1,0,3,175,0.011428571,"1,217",0.001155802,345,"7,543","6,889","14,095","21,630","54,375",5,0,70.3,0.988571429,0
01035,Conecuh County,1,Alabama,0,1,1,226,0.084070796,196,0,60,"1,544","1,439","2,215","3,755","12,695",,,39.1,0.915929204,0
01037,Coosa County,1,Alabama,0,0,1,129,0.062015504,96,0.005509642,115,"2,903","2,879",740,"3,630","10,865",,,12.9,0.937984496,0
01039,Covington County,1,Alabama,0,2,1,337,0.03264095,816,0.002111189,255,"3,022","1,795","11,095","14,210","37,730",,,29.2,0.96735905,0
01041,Crenshaw County,1,Alabama,0,1,0,171,0.029239766,214,0.000720721,175,"2,711","2,551","2,820","5,550","13,895",,,,0.970760234,
