Series ID,Year,Period,Label,Value
LAUCN482250000000003,2012,M01,2012 Jan,7.9
LAUCN482250000000003,2012,M02,2012 Feb,7.7
LAUCN482250000000003,2012,M03,2012 Mar,7.3
LAUCN482250000000003,2012,M04,2012 Apr,6.6
LAUCN482250000000003,2012,M05,2012 May,6.8
LAUCN482250000000003,2012,M06,2012 Jun,7.5
LAUCN482250000000003,2012,M07,2012 Jul,7.5
LAUCN482250000000003,2012,M08,2012 Aug,7.0
LAUCN482250000000003,2012,M09,2012 Sep,6.6
LAUCN482250000000003,2012,M10,2012 Oct,6.5
LAUCN482250000000003,2012,M11,2012 Nov,6.2
LAUCN482250000000003,2012,M12,2012 Dec,6.4
LAUCN482250000000003,2013,M01,2013 Jan,7.0
LAUCN482250000000003,2013,M02,2013 Feb,6.7
LAUCN482250000000003,2013,M03,2013 Mar,6.5
LAUCN482250000000003,2013,M04,2013 Apr,6.1
LAUCN482250000000003,2013,M05,2013 May,6.2
LAUCN482250000000003,2013,M06,2013 Jun,6.9
LAUCN482250000000003,2013,M07,2013 Jul,6.8
LAUCN482250000000003,2013,M08,2013 Aug,6.3
LAUCN482250000000003,2013,M09,2013 Sep,6.2
LAUCN482250000000003,2013,M10,2013 Oct,5.8
LAUCN482250000000003,2013,M11,2013 Nov,5.5
LAUCN482250000000003,2013,M12,2013 Dec,5.2
LAUCN482250000000003,2014,M01,2014 Jan,5.5
LAUCN482250000000003,2014,M02,2014 Feb,5.5
LAUCN482250000000003,2014,M03,2014 Mar,5.4
LAUCN482250000000003,2014,M04,2014 Apr,4.6
LAUCN482250000000003,2014,M05,2014 May,5.0
LAUCN482250000000003,2014,M06,2014 Jun,5.3
LAUCN482250000000003,2014,M07,2014 Jul,5.5
LAUCN482250000000003,2014,M08,2014 Aug,5.2
LAUCN482250000000003,2014,M09,2014 Sep,4.9
LAUCN482250000000003,2014,M10,2014 Oct,4.5
LAUCN482250000000003,2014,M11,2014 Nov,4.5
LAUCN482250000000003,2014,M12,2014 Dec,4.2
LAUCN482250000000003,2015,M01,2015 Jan,5.0
LAUCN482250000000003,2015,M02,2015 Feb,4.6
LAUCN482250000000003,2015,M03,2015 Mar,4.6
LAUCN482250000000003,2015,M04,2015 Apr,4.1
LAUCN482250000000003,2015,M05,2015 May,4.2
LAUCN482250000000003,2015,M06,2015 Jun,4.7
LAUCN482250000000003,2015,M07,2015 Jul,4.6
LAUCN482250000000003,2015,M08,2015 Aug,4.5
LAUCN482250000000003,2015,M09,2015 Sep,4.3
LAUCN482250000000003,2015,M10,2015 Oct,4.3
LAUCN482250000000003,2015,M11,2015 Nov,4.6
LAUCN482250000000003,2015,M12,2015 Dec,4.4
LAUCN482250000000003,2016,M01,2016 Jan,4.6
LAUCN482250000000003,2016,M02,2016 Feb,4.6
LAUCN482250000000003,2016,M03,2016 Mar,4.8
LAUCN482250000000003,2016,M04,2016 Apr,4.2
LAUCN482250000000003,2016,M05,2016 May,4.1
LAUCN482250000000003,2016,M06,2016 Jun,4.7
LAUCN482250000000003,2016,M07,2016 Jul,5.1
LAUCN482250000000003,2016,M08,2016 Aug,4.7
LAUCN482250000000003,2016,M09,2016 Sep,4.9
LAUCN482250000000003,2016,M10,2016 Oct,4.5
LAUCN482250000000003,2016,M11,2016 Nov,4.6
LAUCN482250000000003,2016,M12,2016 Dec,4.7
