Series ID,Year,Period,Label,Value
LAUCN171830000000003,2012,M01,2012 Jan,10.0
LAUCN171830000000003,2012,M02,2012 Feb,9.7
LAUCN171830000000003,2012,M03,2012 Mar,9.1
LAUCN171830000000003,2012,M04,2012 Apr,8.6
LAUCN171830000000003,2012,M05,2012 May,8.6
LAUCN171830000000003,2012,M06,2012 Jun,9.4
LAUCN171830000000003,2012,M07,2012 Jul,9.8
LAUCN171830000000003,2012,M08,2012 Aug,9.7
LAUCN171830000000003,2012,M09,2012 Sep,8.9
LAUCN171830000000003,2012,M10,2012 Oct,9.1
LAUCN171830000000003,2012,M11,2012 Nov,9.3
LAUCN171830000000003,2012,M12,2012 Dec,9.8
LAUCN171830000000003,2013,M01,2013 Jan,10.9
LAUCN171830000000003,2013,M02,2013 Feb,10.5
LAUCN171830000000003,2013,M03,2013 Mar,9.9
LAUCN171830000000003,2013,M04,2013 Apr,8.9
LAUCN171830000000003,2013,M05,2013 May,9.8
LAUCN171830000000003,2013,M06,2013 Jun,10.9
LAUCN171830000000003,2013,M07,2013 Jul,10.9
LAUCN171830000000003,2013,M08,2013 Aug,11.2
LAUCN171830000000003,2013,M09,2013 Sep,11.0
LAUCN171830000000003,2013,M10,2013 Oct,11.1
LAUCN171830000000003,2013,M11,2013 Nov,10.9
LAUCN171830000000003,2013,M12,2013 Dec,10.9
LAUCN171830000000003,2014,M01,2014 Jan,10.9
LAUCN171830000000003,2014,M02,2014 Feb,10.7
LAUCN171830000000003,2014,M03,2014 Mar,10.0
LAUCN171830000000003,2014,M04,2014 Apr,8.3
LAUCN171830000000003,2014,M05,2014 May,8.5
LAUCN171830000000003,2014,M06,2014 Jun,8.5
LAUCN171830000000003,2014,M07,2014 Jul,8.6
LAUCN171830000000003,2014,M08,2014 Aug,8.4
LAUCN171830000000003,2014,M09,2014 Sep,7.5
LAUCN171830000000003,2014,M10,2014 Oct,7.2
LAUCN171830000000003,2014,M11,2014 Nov,7.1
LAUCN171830000000003,2014,M12,2014 Dec,6.9
LAUCN171830000000003,2015,M01,2015 Jan,7.7
LAUCN171830000000003,2015,M02,2015 Feb,7.3
LAUCN171830000000003,2015,M03,2015 Mar,7.0
LAUCN171830000000003,2015,M04,2015 Apr,6.1
LAUCN171830000000003,2015,M05,2015 May,6.5
LAUCN171830000000003,2015,M06,2015 Jun,7.1
LAUCN171830000000003,2015,M07,2015 Jul,7.4
LAUCN171830000000003,2015,M08,2015 Aug,7.3
LAUCN171830000000003,2015,M09,2015 Sep,6.9
LAUCN171830000000003,2015,M10,2015 Oct,7.1
LAUCN171830000000003,2015,M11,2015 Nov,7.4
LAUCN171830000000003,2015,M12,2015 Dec,7.5
LAUCN171830000000003,2016,M01,2016 Jan,8.3
LAUCN171830000000003,2016,M02,2016 Feb,7.8
LAUCN171830000000003,2016,M03,2016 Mar,8.0
LAUCN171830000000003,2016,M04,2016 Apr,7.0
LAUCN171830000000003,2016,M05,2016 May,6.6
LAUCN171830000000003,2016,M06,2016 Jun,7.2
LAUCN171830000000003,2016,M07,2016 Jul,7.3
LAUCN171830000000003,2016,M08,2016 Aug,7.3
LAUCN171830000000003,2016,M09,2016 Sep,7.0
LAUCN171830000000003,2016,M10,2016 Oct,6.8
LAUCN171830000000003,2016,M11,2016 Nov,6.6
LAUCN171830000000003,2016,M12,2016 Dec,7.2
