Series ID,Year,Period,Label,Value
LAUMT534942000000003,2012,M01,2012 Jan,12.2
LAUMT534942000000003,2012,M02,2012 Feb,12.0
LAUMT534942000000003,2012,M03,2012 Mar,11.1
LAUMT534942000000003,2012,M04,2012 Apr,10.3
LAUMT534942000000003,2012,M05,2012 May,10.0
LAUMT534942000000003,2012,M06,2012 Jun,8.7
LAUMT534942000000003,2012,M07,2012 Jul,8.0
LAUMT534942000000003,2012,M08,2012 Aug,9.3
LAUMT534942000000003,2012,M09,2012 Sep,7.6
LAUMT534942000000003,2012,M10,2012 Oct,7.6
LAUMT534942000000003,2012,M11,2012 Nov,8.9
LAUMT534942000000003,2012,M12,2012 Dec,11.4
LAUMT534942000000003,2013,M01,2013 Jan,13.2
LAUMT534942000000003,2013,M02,2013 Feb,12.2
LAUMT534942000000003,2013,M03,2013 Mar,10.9
LAUMT534942000000003,2013,M04,2013 Apr,10.2
LAUMT534942000000003,2013,M05,2013 May,10.0
LAUMT534942000000003,2013,M06,2013 Jun,8.7
LAUMT534942000000003,2013,M07,2013 Jul,8.2
LAUMT534942000000003,2013,M08,2013 Aug,9.1
LAUMT534942000000003,2013,M09,2013 Sep,7.3
LAUMT534942000000003,2013,M10,2013 Oct,7.5
LAUMT534942000000003,2013,M11,2013 Nov,9.7
LAUMT534942000000003,2013,M12,2013 Dec,11.0
LAUMT534942000000003,2014,M01,2014 Jan,11.3
LAUMT534942000000003,2014,M02,2014 Feb,11.6
LAUMT534942000000003,2014,M03,2014 Mar,10.0
LAUMT534942000000003,2014,M04,2014 Apr,8.4
LAUMT534942000000003,2014,M05,2014 May,8.3
LAUMT534942000000003,2014,M06,2014 Jun,6.6
LAUMT534942000000003,2014,M07,2014 Jul,6.7
LAUMT534942000000003,2014,M08,2014 Aug,7.8
LAUMT534942000000003,2014,M09,2014 Sep,6.0
LAUMT534942000000003,2014,M10,2014 Oct,6.4
LAUMT534942000000003,2014,M11,2014 Nov,8.7
LAUMT534942000000003,2014,M12,2014 Dec,10.5
LAUMT534942000000003,2015,M01,2015 Jan,10.8
LAUMT534942000000003,2015,M02,2015 Feb,10.0
LAUMT534942000000003,2015,M03,2015 Mar,8.5
LAUMT534942000000003,2015,M04,2015 Apr,7.5
LAUMT534942000000003,2015,M05,2015 May,7.7
LAUMT534942000000003,2015,M06,2015 Jun,6.4
LAUMT534942000000003,2015,M07,2015 Jul,6.8
LAUMT534942000000003,2015,M08,2015 Aug,6.5
LAUMT534942000000003,2015,M09,2015 Sep,5.3
LAUMT534942000000003,2015,M10,2015 Oct,6.3
LAUMT534942000000003,2015,M11,2015 Nov,8.5
LAUMT534942000000003,2015,M12,2015 Dec,10.5
LAUMT534942000000003,2016,M01,2016 Jan,10.1
LAUMT534942000000003,2016,M02,2016 Feb,9.6
LAUMT534942000000003,2016,M03,2016 Mar,8.9
LAUMT534942000000003,2016,M04,2016 Apr,7.7
LAUMT534942000000003,2016,M05,2016 May,7.0
LAUMT534942000000003,2016,M06,2016 Jun,6.4
LAUMT534942000000003,2016,M07,2016 Jul,6.5
LAUMT534942000000003,2016,M08,2016 Aug,6.6
LAUMT534942000000003,2016,M09,2016 Sep,5.3
LAUMT534942000000003,2016,M10,2016 Oct,5.8
LAUMT534942000000003,2016,M11,2016 Nov,7.5
LAUMT534942000000003,2016,M12,2016 Dec,8.6
