Series ID,Year,Period,Label,Value
LAUCN530710000000003,2020,M01,2020 Jan,5.1
LAUCN530710000000003,2020,M02,2020 Feb,4.6
LAUCN530710000000003,2020,M03,2020 Mar,5.3
LAUCN530710000000003,2020,M04,2020 Apr,12.1
LAUCN530710000000003,2020,M05,2020 May,9.7
LAUCN530710000000003,2020,M06,2020 Jun,7.3
LAUCN530710000000003,2020,M07,2020 Jul,7.2
LAUCN530710000000003,2020,M08,2020 Aug,6.1
LAUCN530710000000003,2020,M09,2020 Sep,5.4
LAUCN530710000000003,2020,M10,2020 Oct,4.6
LAUCN530710000000003,2020,M11,2020 Nov,5.3
LAUCN530710000000003,2020,M12,2020 Dec,6.4
LAUCN530710000000003,2021,M01,2021 Jan,6.7
LAUCN530710000000003,2021,M02,2021 Feb,6.5
LAUCN530710000000003,2021,M03,2021 Mar,5.4
LAUCN530710000000003,2021,M04,2021 Apr,4.7
LAUCN530710000000003,2021,M05,2021 May,4.2
LAUCN530710000000003,2021,M06,2021 Jun,4.5
LAUCN530710000000003,2021,M07,2021 Jul,4.5
LAUCN530710000000003,2021,M08,2021 Aug,4.5
LAUCN530710000000003,2021,M09,2021 Sep,3.9
LAUCN530710000000003,2021,M10,2021 Oct,3.5
LAUCN530710000000003,2021,M11,2021 Nov,3.4
LAUCN530710000000003,2021,M12,2021 Dec,3.9
LAUCN530710000000003,2022,M01,2022 Jan,5.3
LAUCN530710000000003,2022,M02,2022 Feb,5.0
LAUCN530710000000003,2022,M03,2022 Mar,4.5
LAUCN530710000000003,2022,M04,2022 Apr,3.8
LAUCN530710000000003,2022,M05,2022 May,3.8
LAUCN530710000000003,2022,M06,2022 Jun,4.2
